Community	SeqId	UniProt	GeneSymbol	Classification	Degree	Betweenness	Log2 fold-change	lower.CL	upper.CL
H	11547-84	O15146	MUSK	transmembrane signal receptor	1	0	-0.493835029365908	-1.03722327047174	0.0495532117399236
E	11572-4	P50570	DNM2	membrane traffic protein	12	26.8408650373159	-0.46159253710521	-0.908775109839054	-0.0144099643713667
C	11601-26	Q14562	DHX8	RNA helicase	10	23.4980106807981	0.443612278000028	-0.0642240363741008	0.951448592374157
I	11601-26	Q14562	DHX8	RNA helicase	3	48	0.443612278000028	-0.0642240363741008	0.951448592374157
E	11608-5	Q9GZQ8	MAP1LC3B	non-motor microtubule binding protein	2	0	-0.563112301915653	-1.19398070817215	0.0677561043408481
C	11614-29	P84090	ERH	DNA-binding transcription factor	4	3.454329004329	0.515209303196222	0.0371454482576954	0.993273158134749
J	11614-29	P84090	ERH	DNA-binding transcription factor	1	0	0.515209303196222	0.0371454482576954	0.993273158134749
C	11664-32	Q8N6H7	ARFGAP2	GTPase-activating protein	4	3.67436452436453	0.440275152966962	0.0195887979678915	0.860961507966033
I	11664-32	Q8N6H7	ARFGAP2	GTPase-activating protein	1	0	0.440275152966962	0.0195887979678915	0.860961507966033
D	11669-39	Q9H2Y9	SLCO5A1	transporter	32	535.099086968907	-0.442580051818394	-0.98739603703875	0.102235933401962
C	11671-19	P55201	BRPF1	zinc finger transcription factor	16	73.8165658269336	0.47387232518094	0.0265044273739643	0.921240222987915
H	11671-19	P55201	BRPF1	zinc finger transcription factor	1	0	0.47387232518094	0.0265044273739643	0.921240222987915
C	11816-84	O60674	JAK2	non-receptor tyrosine protein kinase	5	7.5403410315175	0.604318445343294	0.102553257354587	1.106083633332
J	11816-84	O60674	JAK2	non-receptor tyrosine protein kinase	1	0	0.604318445343294	0.102553257354587	1.106083633332
C	11830-48	Q06124	PTPN11	protein phosphatase	27	341.162207475389	0.443666840952354	-0.0364546457820394	0.923788327686747
E	12014-19	Q03393	PTS		31	453.562143211112	0.485325888070731	0.00696214885586288	0.963689627285599
E	12034-28	Q01518	CAP1	actin or actin-binding cytoskeletal protein	34	365.158761755154	0.486212896362236	0.0423488405993812	0.93007695212509
E	12338-27	Q63HQ2	EGFLAM	cell adhesion molecule	7	26.0785684559842	-0.563024418847178	-1.10859943768336	-0.0174494000109998
B	12372-50	P06753	TPM3	actin binding motor protein	21	247.236100716094	0.461494501521002	-0.0141051265001578	0.937094129542162
B	12386-11	Q9H4A4	RNPEP		29	426.070542290788	0.440168984714369	-0.0937590299978071	0.974096999426545
H	12396-19	Q6NVY1	HIBCH	hydrolase	5	49	0.773848346904638	0.342918633209151	1.20477806060013
B	12399-194	Q8IVM0	CCDC50		2	0	0.441158078442716	-0.0109468863804747	0.893263043265907
B	12411-60	P61244	MAX	basic helix-loop-helix transcription factor	8	25.6548817405366	0.540120339804233	0.110052324240636	0.970188355367829
E	12423-38	Q9NQ94	A1CF	RNA metabolism protein	5	6.29076525214406	-0.431294484746548	-0.851980839745619	-0.0106081297474768
I	12423-38	Q9NQ94	A1CF	RNA metabolism protein	3	44	-0.431294484746548	-0.851980839745619	-0.0106081297474768
B	12432-23	Q9HB71	CACYBP	ubiquitin-protein ligase	2	0	0.450123890539139	0.00294131780529505	0.897306463272983
B	12446-49	P08263	GSTA1	transferase	12	143.009206708806	-0.963135041187379	-1.43615076055073	-0.49011932182403
B	12448-246	P30419	NMT1	transferase	15	278.81014314865	-0.556335611649057	-1.10916911098895	-0.00350211230916653
B	12466-7	P09651	HNRNPA1	RNA processing factor	1	0	0.50458568578715	0.0397112692738207	0.96946010230048
B	12494-99	P60520	GABARAPL2	non-motor microtubule binding protein	3	2.39015151515152	-0.521615493614709	-0.986201216315558	-0.0570297709138605
B	12500-88	Q9UBT2	UBA2	ubiquitin-protein ligase	12	171.661226942852	0.534663745732188	0.0939717710429326	0.975355720421443
B	12513-8	Q9NZD2	GLTP	transfer/carrier protein	8	80.157177746967	0.555949717409158	0.0913639947083088	1.02053544011001
B	12591-27	O60890	OPHN1	GTPase-activating protein	1	0	0.452209433469854	0.0319656616608416	0.872453205278866
B	12599-10	Q86UX7	FERMT3		12	69.1199045778022	-0.481045806009929	-0.920324667773338	-0.0417669442465206
B	12637-7	P43155	CRAT	acyltransferase	4	2.6669925231138	0.44402986794906	-0.0638064464250682	0.951866182323189
B	12649-80	P40926	MDH2	dehydrogenase	1	0	-0.473259921613176	-0.889047280575838	-0.0574725626505146
B	12667-2	Q9Y2T3	GDA	deaminase	10	208.339579534636	-0.800077855559893	-1.25218282038308	-0.347972890736703
F	12667-2	Q9Y2T3	GDA	deaminase	1	0	-0.800077855559893	-1.25218282038308	-0.347972890736703
B	12675-14	P14868	DARS1	aminoacyl-tRNA synthetase	1	0	-0.479799367109887	-0.943060461545503	-0.0165382726742714
F	12678-66	P09012	SNRPA	RNA splicing factor	1	0	0.715867472744989	0.206336759184032	1.22539818630595
F	12707-26	Q14195	DPYSL3	hydrolase	1	0	0.534098598731204	0.0599168554697383	1.00828034199267
B	12709-63	Q92522	H1-10	chromatin/chromatin-binding, or -regulatory protein	1	0	0.865136169339559	0.407930783261522	1.3223415554176
F	12709-63	Q92522	H1-10	chromatin/chromatin-binding, or -regulatory protein	2	4	0.865136169339559	0.407930783261522	1.3223415554176
B	12714-38	O75843	AP1G2	membrane traffic protein	3	177.217948717949	-0.521189311914474	-1.00248536577336	-0.0398932580555831
B	12731-12	Q6IQ23	PLEKHA7		1	0	-0.536061815971136	-1.00018115422262	-0.071942477719649
B	12764-3	Q92556	ELMO1	scaffold/adaptor protein	12	430.839504667352	-0.433600022574594	-0.851248167416312	-0.0159518777328763
B	12775-6	O15347	HMGB3	chromatin/chromatin-binding, or -regulatory protein	2	89	-0.509746732825292	-0.930045953418458	-0.0894475122321259
F	13098-93	O43915	VEGFD	growth factor	1	0	-0.536808539210953	-1.08683729014842	0.0132202117265119
F	13102-1	Q96BQ1	FAM3D	antimicrobial response protein	4	9	-0.486422442760429	-0.925701304523837	-0.0471435809970205
B	13432-9	Q5T4F4	ZFYVE27	membrane trafficking regulatory protein	1	0	-0.532530663751413	-1.00247631758485	-0.0625850099179746
B	13497-34	O75822	EIF3J	translation initiation factor	1	0	-0.8934363934625	-1.41953840679513	-0.367334380129868
A	13553-4	Q8IWE4	DCUN1D3	ubiquitin-protein ligase	1	0	0.524884862601699	0.0616237681660835	0.988145957037315
A	13708-56	O60259	KLK8	serine protease	1	0	-0.643964718746117	-1.09247374615979	-0.195455691332445
A	13738-8	P08476	INHBA	growth factor	3	3	-0.679833039118631	-1.22318185055495	-0.136484227682313
A	13747-9	P23280	CA6	dehydratase	1	0	-0.70322887396651	-1.20996525184528	-0.196492496087739
